mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000094939.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094911.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093868.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103919.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102668.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096819.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094325.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095520.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104191.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103468.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095508.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101396.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095242.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096223.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503063	0	0	0
ENSMUSG00000094679.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101053.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095324.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094081.3	0	0	0.832601	0	0	0.721184	0.702287	2.68864	0	0.760338	1.52364	0	1.10309	0	1.8528	1.61771	0.537464	2.23945	1.90007	1.61726	3.63175	0.848572
ENSMUSG00000101243.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100634.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096706.3	0	0	0	0	0	0	0	0	0	0	0	0	0.452674	0	0	0	0	0	0	0	0	0
ENSMUSG00000095693.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101667.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091987.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102053.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069044.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056673.15	1.16115	1.10369	0.580074	2.13326	1.40166	1.33547	1.27661	1.13216	1.07977	1.47583	0.7443	0.26926	13.4175	19.9375	19.2041	18.7049	14.5925	14.8656	11.967	18.1905	1.07318	2.41254
ENSMUSG00000069053.12	0	0.182962	0	0	0.331107	0.199323	0.196587	0	0.170336	0	0	0.518382	0	0.170683	0	0.177029	0	0.185246	0.182299	0	0.424943	0.388539
ENSMUSG00000093806.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632288	0	0	0	0
ENSMUSG00000035299.17	2.91803	5.94423	5.32035	7.36517	8.3263	11.1527	7.70146	4.13852	8.4312	9.62362	14.427	5.95862	3.03587	9.04229	9.30927	4.79915	4.31028	3.24445	5.24092	4.98767	5.87578	9.29977
ENSMUSG00000031352.11	17.5699	15.7539	13.5956	13.4407	14.6865	12.518	12.2319	18.6472	17.7069	16.4698	13.584	9.72985	18.1736	18.0282	18.3426	20.0285	21.6964	15.3096	17.8103	15.2803	14.9415	15.1439
ENSMUSG00000031354.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031355.17	4.68182	3.77135	5.04458	5.05508	5.84993	3.52158	6.5607	3.8626	4.84861	2.25038	5.41125	5.19465	3.08544	5.00441	4.76718	4.17032	7.17309	5.72044	5.90489	4.10105	4.58822	3.45373
ENSMUSG00000031358.18	36.5319	28.0906	39.335	33.0914	40.6253	28.0746	31.5247	28.5788	40.4158	31.5432	30.4591	28.2472	45.831	33.2754	37.6109	25.8638	34.7862	30.7101	37.7314	29.5672	35.9895	27.217
ENSMUSG00000040522.6	115.092	125.127	115.128	147.601	127.54	135.256	125.971	93.9053	109.723	102.022	156.765	104.089	120.937	107.193	114.634	116.121	144.778	128.162	135.473	110.786	155.323	114.337
ENSMUSG00000049775.17	4391.64	4415.04	4550.18	4693.32	4764	4722.77	4189.34	4847.09	4272.47	4891.33	4329.72	5292.42	4036.26	5107.32	4196.44	4606.26	3863.32	4229.05	3923.34	4006	3744.92	4432.76
ENSMUSG00000051224.14	3.25942	2.51617	3.19736	1.36203	3.25246	2.54532	3.66909	0.811365	1.67322	1.86657	3.04617	3.05532	2.93343	3.18554	4.06405	4.52132	4.20211	4.36728	4.83499	4.59062	3.9656	5.15246
ENSMUSG00000079316.11	43.9901	28.8149	29.852	17.5332	38.1762	24.1796	38.886	21.9394	33.7189	28.7554	23.385	25.974	35.2784	20.2048	38.2061	23.5331	38.3637	22.4113	38.2416	24.0767	28.1897	21.8092
ENSMUSG00000040586.9	7.75559	6.35318	6.71097	5.81993	4.71637	6.56538	5.25084	7.35405	5.45938	7.53601	8.28302	6.46206	4.89762	6.5336	6.24619	7.40765	3.49147	6.26754	4.05761	6.31748	4.35125	6.91832
ENSMUSG00000031342.18	0	0	0	0	0	0	0	0	0	0	0	0	0.577208	0.241563	0	0	0	0	0	0.153123	0	0
ENSMUSG00000040621.15	0	1.63658	0	1.32883	3.6573	0.446511	2.19888	0	0.734378	2.93726	0	0	0.703364	1.84091	2.41318	1.18853	1.99199	2.48327	2.3559	1.16469	2.69786	1.79328
ENSMUSG00000047757.18	2.82843	2.18468	1.8731	2.16535	1.58416	2.72512	1.88063	1.12872	1.62973	1.4166	1.41251	0	1.50367	0.933459	0.49158	1.93568	0.91188	1.26568	0.996587	0.946625	1.16118	1.85869
ENSMUSG00000031382.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031381.17	3.05144	12.1903	8.54603	11.1982	3.49916	4.6566	3.49875	7.53756	4.48946	10.1393	2.29951	4.03592	8.16937	4.35585	6.89928	6.84205	4.95617	12.1948	4.08644	9.56842	7.61395	10.3328
ENSMUSG00000031380.11	0	0	0	0	0	0	0	0	0.343682	0	0	0	0	0.344676	0	0	0	0	0	0	0	0
ENSMUSG00000031377.12	28.3709	32.4011	26.6653	34.2808	17.1082	26.7543	25.0581	46.5435	18.0576	30.3657	19.4152	22.2506	33.1109	40.094	31.6126	36.8206	27.2569	36.5338	27.1517	22.0723	25.0813	25.2869
ENSMUSG00000040749.12	2.09887	2.32861	5.32577	0.990494	3.18225	1.64098	2.13091	0.713381	0.999967	0	5.22816	3.8081	2.76539	4.49728	4.31238	3.11658	0.44533	0.923571	4.99483	2.67782	7.05828	0.476534
ENSMUSG00000031367.16	310.563	287.237	290.423	281.099	334.183	289.003	262.982	280.353	271.582	282.338	304.927	314.695	257.855	284.454	201.456	218.199	247.031	223.264	276.511	210.404	284.092	251.648
ENSMUSG00000031357.4	47.5166	53.8889	44.3837	57.166	48.4816	49.3195	44.7024	60.9631	47.5082	65.2565	42.2302	62.4734	51.2879	67.9181	42.309	52.5222	42.969	51.6335	48.3086	47.9742	37.7857	52.6438
ENSMUSG00000038344.15	19.0244	19.1296	20.5793	26.5682	17.9745	22.5393	18.053	22.2564	19.3839	21.3958	25.4138	29.9572	24.309	23.9561	16.4953	18.5169	19.1513	17.9631	16.7832	19.3393	14.7922	25.4264
ENSMUSG00000031353.14	38.6034	65.024	33.7862	76.5999	30.9057	58.0064	39.0128	73.937	37.8507	72.0239	26.4646	46.4286	22.7044	84.7676	33.7237	90.2588	27.5957	54.9633	31.0325	59.315	35.346	60.4917
ENSMUSG00000059493.14	0.167969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147622	0	0	0
ENSMUSG00000043518.8	0.393809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330201	0	0	0	0	0	0
ENSMUSG00000055691.6	0.424943	0.375215	0	0	0.339872	0	0	0	0	0	0	0	0	0.350595	0.36885	0.363278	0	0	0.374025	0.355548	0	0
ENSMUSG00000031293.14	0.419054	0	0.115344	0	0.111448	0	0.397111	0	0.11468	1.13904	2.21429	0	0.105823	0	0	0.238378	0	0.124744	0.122744	1.14773	0	0.130795
ENSMUSG00000031295.14	56.9706	67.0957	55.9461	55.2614	63.2198	54.2505	77.988	57.8263	49.3339	43.8314	55.0824	50.6438	50.9752	44.6038	31.7342	54.0469	50.1292	55.2396	51.2174	53.4625	76.5881	49.0148
ENSMUSG00000040990.18	171.689	184.237	163.845	175.599	153.015	182.795	146.368	180.167	143.556	173.469	140.923	146.128	156.813	201.3	157.923	239.188	163.376	178.423	159.318	192.7	154.221	166.096
ENSMUSG00000044150.13	6.66827	15.7814	8.36692	15.5715	6.90304	14.4863	9.13535	12.462	9.73993	12.9641	10.7226	13.8706	5.93154	14.2353	8.53581	10.966	5.30715	11.6944	4.99458	8.45535	7.59172	14.1169
ENSMUSG00000041020.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025658.17	0.142232	0	0	0	0	0	0	0	0	0	0	0	0	0.151311	0.159492	0	0	0	0	0	0	0
ENSMUSG00000091736.4	0	4.38465	0	4.27526	4.45616	4.49837	2.95674	6.2103	0	2.83726	0	0	0	0	0	0	0	3.50566	5.39766	0	4.39905	0
ENSMUSG00000071708.12	30.8474	36.3642	34.488	55.6002	24.6851	36.8713	26.8959	39.3051	24.2954	42.7236	20.5949	55.6492	9.93711	38.0532	21.6813	45.7331	15.1959	25.9524	20.0781	36.7818	28.6056	43.9314
ENSMUSG00000057457.12	0	0.341588	0	0	0	0	0	0.306782	0	0	0	0	0	0	0.536226	0	0	0	0	0.192896	0	0
ENSMUSG00000055109.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041552.8	1.81967	4.55032	2.50682	8.69339	1.45386	4.96048	3.73931	4.43093	0.784468	1.01113	2.01634	8.49462	0.91995	0.499758	0	1.2953	0.521423	1.62607	0.26675	1.26702	1.24312	2.27434
ENSMUSG00000057402.6	0	0	0	1.63437	0	1.65196	0	0	0	0.713915	0	2.13495	0	0	0	0	0	0	0	0.717592	1.75101	0
ENSMUSG00000055746.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079350.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094196.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063728.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072888.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025051.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059663.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096867.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
